Region,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Rice_Mid_China_Xizang,,,,,,,,,,,,,,,,,,,,0,7.14286,0,0,7.14286,6,3.33333,2.85714,3.33333,4.28571,3.75,3,3.63636,3.63636,4.44444,5,4.16667,4.54545,4.54545,5.43689,5.44554,5.66038,3.51515,5.54455,5.2381,5.39216,6.02041,5.5,5.20408,5.2,6.02041,6,5.56701,,
Rice_Mid_China_Shaanxi,,,,,,,,,,,,,,,,,,,,4.64615,3.28173,5.01577,5.25171,5.85106,5.63497,5.96671,6.06662,5.70966,6.25395,6.29467,6.34342,6.19788,5.33045,4.45288,4.60876,6.67304,6.06888,6.33125,5.56957,6.54006,6.53857,6.15326,5.41219,5.96708,6.0639,5.89078,6.33196,6.66774,6.58245,6.66201,6.98732,7.08243,,
Rice_Mid_China_Gansu,,,,,,,,,,,,,,,,,,,,5,4.05405,3.94737,3.84615,3.94737,4.61538,4.87179,5.64103,4.5,5.34884,4.70588,4.5283,6.14035,5.625,8.30508,7.79412,7.46269,7.03704,6.90476,7.75249,8.50829,9.20168,8.76972,7.4739,7.88187,8.05882,7.57062,6.45833,6.90778,6.87831,7.04974,,7.01975,,
Rice_Mid_China_Qinghai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice_Mid_China_Ningxia Hui,,,,,,,,,,,,,,,,,,,,7.11207,7.55102,7.85288,7.95229,8.25147,8.41365,8.23875,8.29868,8.35466,8.45884,9.05,9.27273,6.688,7.00637,8.17223,7.43961,8.4375,8.91369,9.45865,9.25874,8.13559,8.31536,8.73037,7.92978,8.14849,8.56982,8.67792,7.86234,8.26753,8.25026,8.41631,8.42961,8.45789,,
Rice_Mid_China_Xinjiang Uygur,,,,,,,,,,,,,,,,,,,,2.59146,2.92463,3.43915,3.97074,3.86625,4.10738,4.55988,4.677,4.70375,4.94624,5.12485,6.18273,5.55118,4.82963,6.30332,6.43772,6.62713,6.73532,8.14761,5.67761,7.73268,7.74973,7.91355,7.5536,5.88737,7.76527,8.71618,8.81184,5.79282,6.66483,8.81219,8.59045,8.57432,,
Rice_Late_China_Shanghai,,,,,,,,,,,,,,,,,,,,2.71382,3.42942,5.18692,4.97831,5.90474,5.02896,4.94776,5.2322,5.48673,5.80139,5.89888,5.92437,6.13095,6.66667,8,8.48485,7.52475,7.07865,7.67686,7.20795,7.20339,7.45778,10.92562,7.47076,7.56627,7.38255,,,,,,,,,
Rice_Late_China_Jiangsu,,,,,,,,,,,,,,,,,,,,2.44277,3.08512,3.90751,4.52261,4.95753,4.85826,5.07177,4.79835,5.02548,4.82412,5.41748,4.19478,5.72848,5.41237,6.46115,6.63847,8,7.07006,7.5,6.65336,6.80233,6.25175,6.35731,7.19086,6.8942,7.05882,8.48197,7.27941,7.30952,6.98765,7.04969,,,,
Rice_Late_China_Zhejiang,,,,,,,,,,,,,,,,,,,,3.84706,3.74871,5.40055,5.28398,5.96941,5.44032,5.47404,5.51297,5.75228,5.6513,5.35825,6.25765,5.66531,5.8987,5.96267,5.96995,6.189,5.92516,6.24384,6.01435,5.94289,6.12384,6.13526,6.26235,6.30198,6.03,6.28264,5.75875,6.42641,6.39307,6.2542,6.3177,6.42593,,
Rice_Late_China_Anhui,,,,,,,,,,,,,,,,,,,,1.47089,2.58868,3.43287,3.91313,4.34871,4.43744,4.52801,4.57557,4.35438,4.63566,4.75905,4.54902,4.66531,5.37764,4.83384,5.57966,5.20587,4.9194,5.4961,5.60324,4.58546,5.28238,5.4791,4.79441,5.05659,4.8,4.82308,4.87999,4.95408,4.9323,4.92589,5.01321,5.24236,,
